question_id,question,answer_a,answer_b
1,Làm thế nào để quản lý đất đai và đính chính giấy chứng nhận quyền sử dụng đất trong trường hợp có s,Short answer: Làm thế nào để quản lý đất đai và đính chính giấy ...,Detailed answer with more context: Làm thế nào để quản lý đất đai và đính chính giấy ... This provid
2,Thể thao là gì trong quản lý đất đai?,Short answer: Thể thao là gì trong quản lý đất đai?...,Detailed answer with more context: Thể thao là gì trong quản lý đất đai?... This provides additional
3,Bộ trưởng Bộ Tài nguyên và Môi trường có vai trò gì trong việc bảo vệ môi trường và quyết định trưng,Short answer: Bộ trưởng Bộ Tài nguyên và Môi trường có vai trò g...,Detailed answer with more context: Bộ trưởng Bộ Tài nguyên và Môi trường có vai trò g... This provid
4,What are the responsibilities of the authorities regarding the issuance and correction of the Giấy c,Short answer: What are the responsibilities of the authorities r...,Detailed answer with more context: What are the responsibilities of the authorities r... This provid
5,What does Nhà nước mean in the context of land use rights?,Short answer: What does Nhà nước mean in the context of land use...,Detailed answer with more context: What does Nhà nước mean in the context of land use... This provid
6,What is the role of Nhà nước in land use payments in Vietnam?,Short answer: What is the role of Nhà nước in land use payments ...,Detailed answer with more context: What is the role of Nhà nước in land use payments ... This provid
7,Cơ quan có thẩm quyền nào có trách nhiệm đính chính giấy chứng nhận quyền sử dụng đất và thu hồi giấ,Short answer: Cơ quan có thẩm quyền nào có trách nhiệm đính chín...,Detailed answer with more context: Cơ quan có thẩm quyền nào có trách nhiệm đính chín... This provid
8,"Giấy chứng nhận quyền sử dụng đất có liên quan gì đến diện tích đất được cấp cho hộ gia đình, cá nhâ",Short answer: Giấy chứng nhận quyền sử dụng đất có liên quan gì ...,Detailed answer with more context: Giấy chứng nhận quyền sử dụng đất có liên quan gì ... This provid
9,What are the principles of land use according to the Luật?,Short answer: What are the principles of land use according to t...,Detailed answer with more context: What are the principles of land use according to t... This provid
10,Khi nào là thoi gian ky cho luat dat dai theo thong tin da duoc cung cap?,Short answer: Khi nào là thoi gian ky cho luat dat dai theo thon...,Detailed answer with more context: Khi nào là thoi gian ky cho luat dat dai theo thon... This provid
